th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18
27.9,28,27.9,27.9,28.1,27.8,27.8,27.7,32.6,28.4,27.7,27.6,28.2,27.8,27.6,27.6,142,36.2
27.9,27.9,27.9,27.9,28,27.8,27.7,27.6,32.5,28.4,27.7,27.6,28.2,27.8,27.6,27.7,143,36.2
27.8,27.9,27.8,27.8,27.7,27.8,27.8,27.6,27.6,27.7,27.6,27.5,27.6,27.5,27.6,27.6,67,27.5
27.8,27.9,27.9,27.8,27.7,27.8,27.7,27.7,27.6,27.7,27.6,27.5,27.6,27.6,27.6,27.6,67,27.5
27.7,27.7,27.6,27.7,27.6,27.6,27.6,27.5,27.4,27.5,27.6,27.4,27.5,27.6,27.5,27.5,67,27.5
27.6,27.6,27.6,27.7,27.6,27.6,27.7,27.6,27.4,27.5,27.4,27.3,27.3,27.4,27.5,27.4,66,27.5
27.6,27.7,27.7,27.7,27.7,27.6,27.6,27.5,27.3,27.5,27.4,27.4,27.4,27.5,27.4,27.6,67,27.5
27.7,27.7,27.6,27.7,27.7,27.7,27.7,27.6,27.3,27.5,27.5,27.3,27.4,27.6,27.5,27.5,67,27.5
27.6,27.6,27.7,27.8,27.7,27.7,27.7,27.5,27.3,27.4,27.5,27.4,27.4,27.6,27.5,27.5,103,27.5
27.5,27.6,27.5,27.6,27.5,27.6,27.6,27.4,27.2,27.3,27.4,27.4,27.3,27.4,27.4,27.4,66,27.5
27.7,27.8,27.8,27.9,27.7,27.8,27.7,27.6,27.4,27.5,27.6,27.5,27.5,27.7,27.6,27.6,71,27.5
27.8,27.8,27.9,28,27.9,27.8,27.7,27.7,27.4,27.5,27.7,27.6,27.6,27.7,27.6,27.7,71,27.5
27.6,27.6,27.6,27.7,27.6,27.6,27.5,27.5,27.2,27.4,27.5,27.4,27.3,27.4,27.4,27.4,67,27.5
27.6,27.6,27.7,27.8,27.6,27.6,27.6,27.5,27.2,27.4,27.4,27.5,27.4,27.5,27.5,27.4,70,27.5
27.6,27.6,27.7,27.7,27.5,27.5,27.5,27.5,27.2,27.4,27.5,27.4,27.4,27.5,27.4,27.4,71,27.5
